2020-04-20 10:29:19 startup archives unpack
2020-04-20 10:29:19 install perl-modules-5.28:all <none> 5.28.1-6
2020-04-20 10:29:19 status half-installed perl-modules-5.28:all 5.28.1-6
2020-04-20 10:29:19 status unpacked perl-modules-5.28:all 5.28.1-6
2020-04-20 10:29:20 install libgdbm6:amd64 <none> 1.18.1-4
2020-04-20 10:29:20 status triggers-pending libc-bin:amd64 2.28-10
2020-04-20 10:29:20 status half-installed libgdbm6:amd64 1.18.1-4
2020-04-20 10:29:20 status unpacked libgdbm6:amd64 1.18.1-4
2020-04-20 10:29:20 install libgdbm-compat4:amd64 <none> 1.18.1-4
2020-04-20 10:29:20 status half-installed libgdbm-compat4:amd64 1.18.1-4
2020-04-20 10:29:20 status unpacked libgdbm-compat4:amd64 1.18.1-4
2020-04-20 10:29:20 install libperl5.28:amd64 <none> 5.28.1-6
2020-04-20 10:29:20 status half-installed libperl5.28:amd64 5.28.1-6
2020-04-20 10:29:21 status unpacked libperl5.28:amd64 5.28.1-6
2020-04-20 10:29:21 install perl:amd64 <none> 5.28.1-6
2020-04-20 10:29:21 status half-installed perl:amd64 5.28.1-6
2020-04-20 10:29:21 status unpacked perl:amd64 5.28.1-6
2020-04-20 10:29:21 install netbase:all <none> 5.6
2020-04-20 10:29:21 status half-installed netbase:all 5.6
2020-04-20 10:29:21 status unpacked netbase:all 5.6
2020-04-20 10:29:21 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2020-04-20 10:29:21 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2020-04-20 10:29:21 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2020-04-20 10:29:21 install libmagic-mgc:amd64 <none> 1:5.35-4+deb10u1
2020-04-20 10:29:21 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:21 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:21 install libmagic1:amd64 <none> 1:5.35-4+deb10u1
2020-04-20 10:29:21 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:22 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:22 install file:amd64 <none> 1:5.35-4+deb10u1
2020-04-20 10:29:22 status half-installed file:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:22 status unpacked file:amd64 1:5.35-4+deb10u1
2020-04-20 10:29:22 install mime-support:all <none> 3.62
2020-04-20 10:29:22 status half-installed mime-support:all 3.62
2020-04-20 10:29:22 status unpacked mime-support:all 3.62
2020-04-20 10:29:22 install xz-utils:amd64 <none> 5.2.4-1
2020-04-20 10:29:22 status half-installed xz-utils:amd64 5.2.4-1
2020-04-20 10:29:22 status unpacked xz-utils:amd64 5.2.4-1
2020-04-20 10:29:22 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u2
2020-04-20 10:29:22 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-04-20 10:29:22 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2020-04-20 10:29:23 install libglib2.0-data:all <none> 2.58.3-2+deb10u2
2020-04-20 10:29:23 status half-installed libglib2.0-data:all 2.58.3-2+deb10u2
2020-04-20 10:29:23 status unpacked libglib2.0-data:all 2.58.3-2+deb10u2
2020-04-20 10:29:23 install libgpm2:amd64 <none> 1.20.7-5
2020-04-20 10:29:23 status half-installed libgpm2:amd64 1.20.7-5
2020-04-20 10:29:23 status unpacked libgpm2:amd64 1.20.7-5
